"Part";"Value";"Device";"Package";"Description";"CODE-ARDUINO";"DATASHEET";"DISTRIBUTOR-LINK";"DISTRIBUTOR-PN";"MANUFACTURER";"MANUFACTURER-PN";"NOTE";"VALUE";
"C1";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C2";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C3";"22u";"CPOL-EUSMCB";"SMC_B";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C4";"1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C5";"1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C6";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C7";"1uF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C9";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C10";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C11";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C12";"22pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C13";"22pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C14";"22u";"CPOL-EUSMCB";"SMC_B";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"D+";"DNP";"TPTP-1.00MM";"TP-1.00MM";"Testpoint";"";"DNP";"DNP";"DNP";"DNP";"DNP";"";"DNP";
"D-";"DNP";"TPTP-1.00MM";"TP-1.00MM";"Testpoint";"";"DNP";"DNP";"DNP";"DNP";"DNP";"";"DNP";
"D2";"CD1206-S01575";"DIODE-MINIMELF";"MINIMELF";"DIODE";"";"";"";"";"";"";"";"";
"F1";"MF-MSMF050-2 500mA";"L-EUL1812";"L1812";"INDUCTOR, European symbol";"";"";"";"";"";"";"";"";
"FRAME1";"DNP";"A3-FRAME";"FRAME";"";"DNP";"DNP";"DNP";"DNP";"DNP";"DNP";"DNP";"DNP";
"J3";"USB Micro";"USB-MICRO-LEGACY";"CON2_USB_MICRO_B_AT";"";"";"http://media.digikey.com/pdf/Data%20Sheets/FCI%20PDFs/10118193-0001LF_Webpage.PDF";"http://www.digikey.it/product-detail/en/10118193-0001LF/609-4616-2-ND/2785388";"609-4616-2-ND";"FCI";"10118193-0001LF";"";"USB Micro";
"J4";"3x2M";"PINHD-2X3";"2X03";"PIN HEADER";"";"";"";"";"";"";"";"";
"J5";"HEAD17-NOSS";"HEAD17-NOSS";"HEAD17-NOSS";"";"";"";"";"";"";"";"";"";
"J6";"HEAD17-NOSS-1";"HEAD17-NOSS-1";"HEAD17-NOSS-1";"";"";"";"";"";"";"";"";"";
"L";"green";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"";"";
"L2";"MH2029-300Y";"WE-CBF_0805";"0805";"SMD EMI Suppression Ferrite Beads";"";"";"";"";"";"";"";"";
"ON";"blue";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"";"";
"R1";"10K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R2";"10K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R4";"10K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R5";"1K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R6";"1K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R7";"1K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R8";"1K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R9";"10K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"RESET";"TS42";"TS42";"TS42";"TS42";"";"";"";"";"";"";"";"";
"RP3";"22R";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"";"";"";"";"";"";
"RX";"yellow";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"";"";
"T1";"FDN340P/PMV48XP";"PMOSSOT23";"SOT-23";"MOS FET";"";"";"";"";"";"";"";"";
"T2";"PMV48XP";"PMOSSOT23";"SOT-23";"MOS FET";"";"";"";"";"";"";"";"";
"TX";"yellow";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"";"";
"U$37";"DNP";"FIDUCIAL-1.5MM";"FD-1-1.5";"Fiducial mount";"";"DNP";"DNP";"DNP";"DNP";"DNP";"";"DNP";
"U$53";"DNP";"FIDUCIAL-1.5MM";"FD-1-1.5";"Fiducial mount";"";"DNP";"DNP";"DNP";"DNP";"DNP";"";"DNP";
"U1";"ATMEGA32U4-XUMU";"ATMEGA32U4-XUMU";"QFN44ML7X7";"";"";"";"";"";"";"";"";"";
"U2";"NCP1117-5";"LINEAR_MC33269ST";"SOT223";"Adjustable Output Low Dropout Voltage Regulator 800 mA";"";"";"";"";"";"";"";"";
"U4";"LP2985-33DBVR";"LP2985-XXDBVR33";"SOT23-DBV";"ULTRALOW-POWER 50-mA LOW-DROPOUT LINEAR REGULATORS";"";"";"";"";"";"";"";"";
"Y3";"16MHz KX-7";"CRYSTAL-3.2-2.5";"CRYSTAL-3.2-2.5";"";"";"";"";"";"";"";"";"";
"Z1";"CG0603MLC-05E";"VARISTORCN0603";"CT/CN0603";"VARISTOR";"";"";"";"";"";"";"";"";
"Z2";"CG0603MLC-05E";"VARISTORCN0603";"CT/CN0603";"VARISTOR";"";"";"";"";"";"";"";"";
