"Part";"Value";"Device";"Package";"Description";"CASE";"CODE-ARDUINO";"DATASHEET";"DISTRIBUTOR-LINK";"DISTRIBUTOR-PN";"MANUFACTURER";"MANUFACTURER-PN";"MANUFCATURER";"MONTHLY_USAGE";"PART_NUMBER";"PRICE";"SUPPLIER";"TYPE";"VALUE";
"C1";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"1u";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C8";"1u";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C9";"22p";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C10";"100nF";"0015_100NF_0603";"C0603-ROUND";"100nF 0603";"0603";"";"";"";"";"";"";"";"_____";"100nF_0603";"_____";"_____";"Condensatori";"100nF";
"C11";"22p";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"M7";"DIODE-SMB";"SMB";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"CD1206-S01575";"DIODE-MINIMELF";"MINIMELF";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D3";"CD1206-S01575";"DIODE-MINIMELF";"MINIMELF";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"F1";"MF-MSMF050-2 500mA";"L-EUL1812";"L1812";"INDUCTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FD1";"DNP";"FIDUCIAL-1.5MM";"FD-1-1.5";"Fiducial mount";"";"";"DNP";"DNP";"DNP";"DNP";"DNP";"";"";"";"";"";"";"DNP";
