"Part";"Value";"Device";"Package";"Description";"CODE-ARDUINO";"DATASHEET";"DISTRIBUTOR-LINK";"DISTRIBUTOR-PN";"MANUFACTURER";"MANUFACTURER-PN";"NOTE";"VALUE";
"D+";"DNP";"TPTP-1.00MM";"TP-1.00MM";"Testpoint";"";"DNP";"DNP";"DNP";"DNP";"DNP";"";"DNP";
"D-";"DNP";"TPTP-1.00MM";"TP-1.00MM";"Testpoint";"";"DNP";"DNP";"DNP";"DNP";"DNP";"";"DNP";
"D1";"M7";"DIODE-SMB";"SMB";"DIODE";"";"";"";"";"";"";"";"";
"D2";"CD1206-S01575";"DIODE-MINIMELF";"MINIMELF";"DIODE";"";"";"";"";"";"";"";"";
"EXTPOWER";"POWERSUPPLY_DC21MMX";"POWERSUPPLY_DC21MMX";"POWERSUPPLY_DC-21MM";"";"";"";"";"";"";"";"";"";
"F1";"MF-MSMF050-2 500mA";"L-EUL1812";"L1812";"INDUCTOR, European symbol";"";"";"";"";"";"";"";"";
"FID1";"DNP";"FIDUCIAL-1.5MM";"FD-1-1.5";"Fiducial mount";"";"DNP";"DNP";"DNP";"DNP";"DNP";"";"DNP";
"FID2";"DNP";"FIDUCIAL-1.5MM";"FD-1-1.5";"Fiducial mount";"";"DNP";"DNP";"DNP";"DNP";"DNP";"";"DNP";
"FID3";"DNP";"FIDUCIAL-1.5MM";"FD-1-1.5";"Fiducial mount";"";"DNP";"DNP";"DNP";"DNP";"DNP";"";"DNP";
"FRAME1";"DNP";"A3-FRAME";"FRAME";"";"DNP";"DNP";"DNP";"DNP";"DNP";"DNP";"DNP";"DNP";
"GND";"DNP";"TPTP-1.00MM";"TP-1.00MM";"Testpoint";"";"DNP";"DNP";"DNP";"DNP";"DNP";"";"DNP";
"IC1";"NCP1117ST50T3G";"MC33269ST-3.3T3";"SOT223";"Adjustable Output Low Dropout Voltage Regulator 800 mA";"";"";"";"";"";"";"";"";
"IC2";"LMV358IDGKR";"LMV358MMX";"MSOP08";"Dual General Purpose, Low Voltage, Rail-to-Rail Output Operational Amplifiers";"";"";"";"";"";"";"";"";
"ICSP";"ICSP";"PINHD-2X3";"2X03";"PIN HEADER";"";"";"";"";"";"";"";"";
"J1";"USB Micro";"USB-MICRO-LEGACY";"CON2_USB_MICRO_B_AT";"";"";"http://media.digikey.com/pdf/Data%20Sheets/FCI%20PDFs/10118193-0001LF_Webpage.PDF";"http://www.digikey.it/product-detail/en/10118193-0001LF/609-4616-2-ND/2785388";"609-4616-2-ND";"FCI";"10118193-0001LF";"";"USB Micro";
"J2";"8x1F-H8.5";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";"";"";"";"";
"J3";"8x1F-H8.5";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";"";"";"";"";
"J4";"6x1F-H8.5";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";"";"";"";"";
"JP1";"10x1F-H8.5";"PINHD-1X10";"1X10";"PIN HEADER";"";"";"";"";"";"";"";"";
"L";"Yellow";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"";"";
"L1";"MH2029-300Y";"WE-CBF_0805";"0805";"SMD EMI Suppression Ferrite Beads";"";"";"";"";"";"";"";"";
"L2";"MH2029-300Y";"WE-CBF_0805";"0805";"SMD EMI Suppression Ferrite Beads";"";"";"";"";"";"";"";"";
"ON";"Green";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"";"";
"R1";"1M";"R-EU_R0603";"R0603-ROUND";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R2";"NM";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R3";"NM";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R4";"10K";"R-EU_R0603";"R0603-ROUND";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"RESET";"TS42";"TS42";"TS42";"TS42";"";"";"";"";"";"";"";"";
"RN1";"10K";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"";"";"";"";"";"";
"RN2";"1K";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"";"";"";"";"";"";
"RN3";"22R";"4R-NCAY16";"CAY16";"Array Chip Resistor";"";"";"";"";"";"";"";"";
"RX";"Yellow";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"";"";
"T1";"FDN340P";"PMOSSOT23";"SOT-23";"MOS FET";"";"";"";"";"";"";"";"";
"TX";"Yellow";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"";"";
"U1";"ATMEGA32U4-XUMU";"ATMEGA32U4-XUMU";"QFN44ML7X7";"";"";"";"";"";"";"";"";"";
"U2";"ATMEGA32U4-XUAU";"ATMEGA32U4-XUAU";"TQFP44-PAD";"";"";"";"";"";"";"";"";"";
"U3";"LP2985-33DBVR";"LP2985-XXDBVR33";"SOT23-DBV";"ULTRALOW-POWER 50-mA LOW-DROPOUT LINEAR REGULATORS";"";"";"";"";"";"";"";"";
"VUSB";"DNP";"TPTP-1.00MM";"TP-1.00MM";"Testpoint";"";"DNP";"DNP";"DNP";"DNP";"DNP";"";"DNP";
"Y1";"16MHz KX-7";"CRYSTAL-3.2-2.5";"CRYSTAL-3.2-2.5";"";"";"";"";"";"";"";"";"";
"Z1";"CG0603MLC-05E";"VARISTORCN0603";"CT/CN0603";"VARISTOR";"";"";"";"";"";"";"";"";
"Z2";"CG0603MLC-05E";"VARISTORCN0603";"CT/CN0603";"VARISTOR";"";"";"";"";"";"";"";"";
