"Part";"Value";"Device";"Package";"Description";"CASE";"CODE-ARDUINO";"DATASHEET";"DISTRIBUTOR-LINK";"DISTRIBUTOR-PN";"MANUFACTURER";"MANUFACTURER-PN";"MONTHLY_USAGE";"NOTE";"PART_NUMBER";"PRICE";"SUPPLIER";"TYPE";"VALUE";
"AD";"6x1F-H8.5";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"1u";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C8";"1u";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C9";"22p";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C10";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C11";"22p";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"M7";"DIODE-SMB";"SMB";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"CD1206-S01575";"DIODE-MINIMELF";"MINIMELF";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D3";"CD1206-S01575";"DIODE-MINIMELF";"MINIMELF";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"F1";"MF-MSMF050-2 500mA";"L-EUL1812";"L1812";"INDUCTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FD1";"FIDUCIALMOUNT";"FIDUCIALMOUNT";"FIDUCIA-MOUNT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FD2";"FIDUCIALMOUNT";"FIDUCIALMOUNT";"FIDUCIA-MOUNT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FD3";"FIDUCIALMOUNT";"FIDUCIALMOUNT";"FIDUCIA-MOUNT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FRAME1";"DNP";"A3-FRAME";"FRAME";"";"";"DNP";"DNP";"DNP";"DNP";"DNP";"DNP";"";"DNP";"";"";"";"";"DNP";
"GND_TP";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"GND_TP1";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"GROUND";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ICSP";"3x2 M";"PINHD-2X3";"2X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ICSP1";"3x2 M";"PINHD-2X3";"2X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IOH";"10x1F-H8.5";"PINHD-1X10_ARD";"1X10";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IOL";"8x1F-H8.5";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP2";"2x2 M - NM";"PINHD-2X2";"2X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L";"YELLOW";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"BLM21";"WE-CBF_0805";"0805";"SMD EMI Suppression Ferrite Beads";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L2";"10uH";"0715_CV201210-100K";"0805";"10uH 0805";"0805";"";"";"";"";"";"";"_____";"";"CV201210-100K";"_____";"_____";"Induttanze";"10uH";
"ON";"GREEN";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ORIGIN";"TP_SP";"TP_SP";"TP-SP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PC1";"47u";"CPOL-EUD";"PANASONIC_D";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PC2";"47u";"CPOL-EUD";"PANASONIC_D";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"POWER";"8x1F-H8.5";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"1M";"R-EU_R0603";"R0603-ROUND";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"1M";"R-EU_R0603";"R0603-ROUND";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RESET";"TS42031-160R-TR-7260";"TS42";"TS42";"TS42";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
